編號,成語,注音,漢語拼音
126.0,樂不可支,ㄌㄜˋ　ㄅㄨˋ　ㄎㄜˇ　ㄓ,lè bù kě zhī 
127.0,分道揚鑣,ㄈㄣ　ㄉㄠˋ　ㄧㄤˊ　ㄅㄧㄠ,fēn dào yáng biāo
128.0,曇花一現,ㄊㄢˊ　ㄏㄨㄚ　ㄧ　ㄒㄧㄢˋ　（變）　ㄊㄢˊ　ㄏㄨㄚ　ㄧˊ　ㄒㄧㄢˋ,tán huā yī xiàn （變） tán huā yí xiàn
129.0,目中無人,ㄇㄨˋ　ㄓㄨㄥ　ㄨˊ　ㄖㄣˊ,mù zhōng wú rén
130.0,春風得意,ㄔㄨㄣ　ㄈㄥ　ㄉㄜˊ　ㄧˋ,chūn fēng dé yì
131.0,難兄難弟,"（一）ㄋㄢˊ　ㄒㄩㄥ　ㄋㄢˊ　ㄉㄧˋ
（二）ㄋㄢˋ　ㄒㄩㄥ　ㄋㄢˋ　ㄉㄧˋ",（一） nán xiōng nán dì （二） nàn xiōng nàn dì
132.0,海闊天空,ㄏㄞˇ　ㄎㄨㄛˋ　ㄊㄧㄢ　ㄎㄨㄥ,hǎi kuò tiān kōng
133.0,偷天換日,ㄊㄡ　ㄊㄧㄢ　ㄏㄨㄢˋ　ㄖˋ,tōu tiān huàn rì
134.0,孤芳自賞,ㄍㄨ　ㄈㄤ　ㄗˋ　ㄕㄤˇ,gū fāng zì shǎng
135.0,坐以待斃,ㄗㄨㄛˋ　ㄧˇ　ㄉㄞˋ　ㄅㄧˋ,zuò yǐ dài bì
136.0,一舉兩得,ㄧ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ　（變）　ㄧˋ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ,yī jǔ liǎng dé （變） yì jǔ liǎng dé
137.0,守口如瓶,ㄕㄡˇ　ㄎㄡˇ　ㄖㄨˊ　ㄆㄧㄥˊ,shǒu kǒu rú píng
138.0,自投羅網,ㄗˋ　ㄊㄡˊ　ㄌㄨㄛˊ　ㄨㄤˇ,zì tóu luó wǎng
139.0,人面獸心,ㄖㄣˊ　ㄇㄧㄢˋ　ㄕㄡˋ　ㄒㄧㄣ,rén miàn shòu xīn
140.0,忘恩負義,ㄨㄤˋ　ㄣ　ㄈㄨˋ　ㄧˋ,wàng ēn fù yì
141.0,川流不息,ㄔㄨㄢ　ㄌㄧㄡˊ　ㄅㄨˋ　ㄒㄧˊ,chuān liú bù xí
142.0,天涯海角,ㄊㄧㄢ　ㄧㄚˊ　ㄏㄞˇ　ㄐㄧㄠˇ,tiān yá hǎi jiǎo
143.0,九死一生,ㄐㄧㄡˇ　ㄙˇ　ㄧ　ㄕㄥ　（變）　ㄐㄧㄡˇ　ㄙˇ　ㄧˋ　ㄕㄥ,jiǔ sǐ yī shēng （變） jiǔ sǐ yì shēng
144.0,如數家珍,ㄖㄨˊ　ㄕㄨˇ　ㄐㄧㄚ　ㄓㄣ,rú shǔ jiā zhēn
145.0,情不自禁,ㄑㄧㄥˊ　ㄅㄨˋ　ㄗˋ　ㄐㄧㄣ　（變）　ㄑㄧㄥˊ　ㄅㄨˊ　ㄗˋ　ㄐㄧㄣ,qíng bù zì jīn （變） qíng bú zì jīn
146.0,想入非非,ㄒㄧㄤˇ　ㄖㄨˋ　ㄈㄟ　ㄈㄟ,xiǎng rù fēi fēi
147.0,鬼鬼祟祟,ㄍㄨㄟˇ　ㄍㄨㄟˇ　ㄙㄨㄟˋ　ㄙㄨㄟˋ,guǐ guǐ suì suì
148.0,置若罔聞,ㄓˋ　ㄖㄨㄛˋ　ㄨㄤˇ　ㄨㄣˊ,zhì ruò wǎng wén
149.0,捕風捉影,ㄅㄨˇ　ㄈㄥ　ㄓㄨㄛ　ㄧㄥˇ,bǔ fēng zhuō yǐng
150.0,義不容辭,ㄧˋ　ㄅㄨˋ　ㄖㄨㄥˊ　ㄘˊ,yì bù róng cí
151.0,異想天開,ㄧˋ　ㄒㄧㄤˇ　ㄊㄧㄢ　ㄎㄞ,yì xiǎng tiān kāi
152.0,當仁不讓,ㄉㄤ　ㄖㄣˊ　ㄅㄨˋ　ㄖㄤˋ　（變）　ㄉㄤ　ㄖㄣˊ　ㄅㄨˊ　ㄖㄤˋ,dāng rén bù ràng （變） dāng rén bú ràng
153.0,恍然大悟,ㄏㄨㄤˇ　ㄖㄢˊ　ㄉㄚˋ　ㄨˋ,huǎng rán dà wù
154.0,穿鑿附會,ㄔㄨㄢ　ㄗㄨㄛˋ　ㄈㄨˋ　ㄏㄨㄟˋ,chuān zuò fù huì
155.0,敷衍塞責,ㄈㄨ　ㄧㄢˇ　ㄙㄜˋ　ㄗㄜˊ,fū yǎn sè zé
156.0,暗箭傷人,ㄢˋ　ㄐㄧㄢˋ　ㄕㄤ　ㄖㄣˊ,àn jiàn shāng rén
157.0,隨波逐流,ㄙㄨㄟˊ　ㄅㄛ　ㄓㄨˊ　ㄌㄧㄡˊ,suí bō zhú liú
158.0,暴跳如雷,ㄅㄠˋ　ㄊㄧㄠˋ　ㄖㄨˊ　ㄌㄟˊ,bào tiào rú léi
159.0,優柔寡斷,ㄧㄡ　ㄖㄡˊ　ㄍㄨㄚˇ　ㄉㄨㄢˋ,yōu róu guǎ duàn
160.0,聲色俱厲,ㄕㄥ　ㄙㄜˋ　ㄐㄩˋ　ㄌㄧˋ,shēng sè jù lì 
161.0,華而不實,ㄏㄨㄚˊ　ㄦˊ　ㄅㄨˋ　ㄕˊ,huá ér bù shí
162.0,利令智昏,ㄌㄧˋ　ㄌㄧㄥˋ　ㄓˋ　ㄏㄨㄣ,lì lìng zhì hūn
163.0,置之度外,ㄓˋ　ㄓ　ㄉㄨˋ　ㄨㄞˋ,zhì zhī dù wài
164.0,不修邊幅,ㄅㄨˋ　ㄒㄧㄡ　ㄅㄧㄢ　ㄈㄨˊ,bù xiū biān fú
165.0,手無寸鐵,ㄕㄡˇ　ㄨˊ　ㄘㄨㄣˋ　ㄊㄧㄝˇ,shǒu wú cùn tiě
166.0,玉石俱焚,ㄩˋ　ㄕˊ　ㄐㄩˋ　ㄈㄣˊ,yù shí jù fén
167.0,一手遮天,ㄧ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ　（變）　ㄧˋ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ,yī shǒu zhē tiān （變） yì shǒu zhē tiān
168.0,七手八腳,ㄑㄧ　ㄕㄡˇ　ㄅㄚ　ㄐㄧㄠˇ,qī shǒu bā jiǎo
169.0,一觸即發,ㄧ　ㄔㄨˋ　ㄐㄧˊ　ㄈㄚ　（變）　ㄧˊ　ㄔㄨˋ　ㄐㄧˊ　ㄈㄚ,yī chù jí fā （變） yí chù jí fā
170.0,心悅誠服,ㄒㄧㄣ　ㄩㄝˋ　ㄔㄥˊ　ㄈㄨˊ,xīn yuè chéng fú
171.0,改弦易轍,ㄍㄞˇ　ㄒㄧㄢˊ　ㄧˋ　ㄔㄜˋ,gǎi xián yì chè
172.0,兵連禍結,ㄅㄧㄥ　ㄌㄧㄢˊ　ㄏㄨㄛˋ　ㄐㄧㄝˊ,bīng lián huò jié
173.0,出神入化,ㄔㄨ　ㄕㄣˊ　ㄖㄨˋ　ㄏㄨㄚˋ,chū shén rù huà
174.0,居心叵測,ㄐㄩ　ㄒㄧㄣ　ㄆㄛˇ　ㄘㄜˋ,jū xīn pǒ cè
175.0,千方百計,ㄑㄧㄢ　ㄈㄤ　ㄅㄞˇ　ㄐㄧˋ,qiān fāng bǎi jì
176.0,一帆風順,ㄧ　ㄈㄢˊ　ㄈㄥ　ㄕㄨㄣˋ　（變）　ㄧˋ　ㄈㄢˊ　ㄈㄥ　ㄕㄨㄣˋ,yī fán fēng shùn （變） yì fán fēng shùn
177.0,大惑不解,ㄉㄚˋ　ㄏㄨㄛˋ　ㄅㄨˋ　ㄐㄧㄝˇ,dà huò bù jiě
178.0,金蟬脫殼,ㄐㄧㄣ　ㄔㄢˊ　ㄊㄨㄛ　ㄎㄜˊ,jīn chán tuō ké
179.0,五花八門,ㄨˇ　ㄏㄨㄚ　ㄅㄚ　ㄇㄣˊ,wǔ huā bā mén
180.0,一貧如洗,ㄧ　ㄆㄧㄣˊ　ㄖㄨˊ　ㄒㄧˇ　（變）　ㄧˋ　ㄆㄧㄣˊ　ㄖㄨˊ　ㄒㄧˇ,yī pín rú xǐ （變） yì pín rú xǐ
181.0,心安理得,ㄒㄧㄣ　ㄢ　ㄌㄧˇ　ㄉㄜˊ,xīn ān lǐ dé
182.0,道貌岸然,ㄉㄠˋ　ㄇㄠˋ　ㄢˋ　ㄖㄢˊ,dào mào àn rán
183.0,飛揚跋扈,ㄈㄟ　ㄧㄤˊ　ㄅㄚˊ　ㄏㄨˋ,fēi yáng bá hù
184.0,苦口婆心,ㄎㄨˇ　ㄎㄡˇ　ㄆㄛˊ　ㄒㄧㄣ,kǔ kǒu pó xīn
185.0,比比皆是,ㄅㄧˋ　ㄅㄧˋ　ㄐㄧㄝ　ㄕˋ,bì bì jiē shì
186.0,顛沛流離,ㄉㄧㄢ　ㄆㄟˋ　ㄌㄧㄡˊ　ㄌㄧˊ,diān pèi liú lí
187.0,雷厲風行,ㄌㄟˊ　ㄌㄧˋ　ㄈㄥ　ㄒㄧㄥˊ,léi lì fēng xíng
188.0,十拿九穩,ㄕˊ　ㄋㄚˊ　ㄐㄧㄡˇ　ㄨㄣˇ,shí ná jiǔ wěn
189.0,寡廉鮮恥,ㄍㄨㄚˇ　ㄌㄧㄢˊ　ㄒㄧㄢˇ　ㄔˇ,guǎ lián xiǎn chǐ
