字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
064900007,滿腹牢騷,ㄇㄢˇ　ㄈㄨˋ　ㄌㄠˊ　ㄙㄠ,mǎn fù láo sāo,
064900005,滿目瘡痍,ㄇㄢˇ　ㄇㄨˋ　ㄔㄨㄤ　ㄧˊ,mǎn mù chuāng yí,
064900004,滿面春風,ㄇㄢˇ　ㄇㄧㄢˋ　ㄔㄨㄣ　ㄈㄥ,mǎn miàn chūn fēng,
064900002,滿布,ㄇㄢˇ　ㄅㄨˋ,mǎn bù,
064900003,滿面,ㄇㄢˇ　ㄇㄧㄢˋ,mǎn miàn,
064900001,滿不在乎,ㄇㄢˇ　ㄅㄨˋ　ㄗㄞˋ　ㄏㄨ　（變）ㄇㄢˇ　ㄅㄨˊ　ㄗㄞˋ　ㄏㄨ,mǎn　bù　zài　hū　（變）mǎn　bú　zài　hū,
064800004,蠻夷,ㄇㄢˊ　ㄧˊ,mán yí,
064800003,蠻荒,ㄇㄢˊ　ㄏㄨㄤ,mán huāng,
064800002,蠻橫,ㄇㄢˊ　ㄏㄥˋ,mán hèng,
064800001,蠻幹,ㄇㄢˊ　ㄍㄢˋ,mán gàn,
0648,蠻,ㄇㄢˊ,mán,
064700001,顢頇,ㄇㄢˊ　ㄏㄢ,mán hān,
0646,蹣,ㄇㄢˊ,mán,
064600001,蹣跚,ㄇㄢˊ　ㄕㄢ,mán shān,
0647,顢,ㄇㄢˊ,mán,
064500002,瞞上欺下,ㄇㄢˊ　ㄕㄤˋ　ㄑㄧ　ㄒㄧㄚˋ,mán shàng qī xià,
064500001,瞞天過海,ㄇㄢˊ　ㄊㄧㄢ　ㄍㄨㄛˋ　ㄏㄞˇ,mán tiān guò hǎi,
0645,瞞,ㄇㄢˊ,mán,
064400001,鰻魚,ㄇㄢˊ　ㄩˊ,mán yú,
064300001,饅頭,ㄇㄢˊ　˙ㄊㄡ,mán tou,
0644,鰻,ㄇㄢˊ,mán,
0643,饅,ㄇㄢˊ,mán,
0642,謾,(一)ㄇㄢˊ,(一)mán,(二)ㄇㄢˋ　　màn（0657）<br>
064100001,蔓菁,ㄇㄢˊ　ㄐㄧㄥ,mán jīng,
0641,蔓,(二)ㄇㄢˊ,(二)mán,(一)ㄇㄢˋ　　màn（0655）<br>
0640A,埋,(二)ㄇㄢˊ,(二)mán,(一)ㄇㄞˊ　　mái（0580）<br>
0640A0001,埋怨,ㄇㄢˊ　ㄩㄢˋ,mán yuàn,
0640,屘,ㄇㄢ,mān,
063900003,某日,ㄇㄡˇ　ㄖˋ,mǒu rì,
063900004,某人,ㄇㄡˇ　ㄖㄣˊ,mǒu rén,
063900002,某些,ㄇㄡˇ　ㄒㄧㄝ,mǒu xiē,
063900001,某個,ㄇㄡˇ　ㄍㄜˋ,mǒu gè,
0639,某,ㄇㄡˇ,mǒu,
0638,冇,ㄇㄡˇ,mǒu,
0637,繆,(一)ㄇㄡˊ,(一)móu,(二)ㄇㄧㄠˋ　　miào（0737）<br>(三)ㄇㄧㄡˋ　　miù（0738）<br>(四)ㄇㄨˋ　　mù（0803）<br>
063600012,謀財害命,ㄇㄡˊ　ㄘㄞˊ　ㄏㄞˋ　ㄇㄧㄥˋ,móu cái hài mìng,
063600011,謀生,ㄇㄡˊ　ㄕㄥ,móu shēng,
063600010,謀殺,ㄇㄡˊ　ㄕㄚ,móu shā,
063600008,謀職,ㄇㄡˊ　ㄓˊ,móu zhí,
063600009,謀士,ㄇㄡˊ　ㄕˋ,móu shì,
063600006,謀求,ㄇㄡˊ　ㄑㄧㄡˊ,móu qiú,
063600007,謀取,ㄇㄡˊ　ㄑㄩˇ,móu qǔ,
063600005,謀害,ㄇㄡˊ　ㄏㄞˋ,móu hài,
063600003,謀利,ㄇㄡˊ　ㄌㄧˋ,móu lì,
063600004,謀略,ㄇㄡˊ　ㄌㄩㄝˋ,móu lüè,
063600001,謀面,ㄇㄡˊ　ㄇㄧㄢˋ,móu miàn,
063600002,謀反,ㄇㄡˊ　ㄈㄢˇ,móu fǎn,
0636,謀,ㄇㄡˊ,móu,
0635,麰,ㄇㄡˊ,móu,
0633,侔,ㄇㄡˊ,móu,
0634,眸,ㄇㄡˊ,móu,
0632,牟,ㄇㄡˊ,móu,
063200001,牟利,ㄇㄡˊ　ㄌㄧˋ,móu lì,
0631,懋,ㄇㄠˋ,mào,
063000004,貌似,ㄇㄠˋ　ㄙˋ,mào sì,
063000002,貌美如花,ㄇㄠˋ　ㄇㄟˇ　ㄖㄨˊ　ㄏㄨㄚ,mào měi rú huā,
063000003,貌合神離,ㄇㄠˋ　ㄏㄜˊ　ㄕㄣˊ　ㄌㄧˊ,mào hé shén lí,
0630,貌,ㄇㄠˋ,mào,
063000001,貌不驚人,ㄇㄠˋ　ㄅㄨˋ　ㄐㄧㄥ　ㄖㄣˊ,mào bù jīng rén,
062900006,貿易順差,ㄇㄠˋ　ㄧˋ　ㄕㄨㄣˋ　ㄔㄚ,mào yì shùn chā,
062900007,貿易額,ㄇㄠˋ　ㄧˋ　ㄜˊ,mào yì é,
062900005,貿易商,ㄇㄠˋ　ㄧˋ　ㄕㄤ,mào yì shāng,
062900004,貿易逆差,ㄇㄠˋ　ㄧˋ　ㄋㄧˋ　ㄔㄚ,mào yì nì chā,
062900002,貿然,ㄇㄠˋ　ㄖㄢˊ,mào rán,
062900003,貿易,ㄇㄠˋ　ㄧˋ,mào yì,
0629,貿,ㄇㄠˋ,mào,
0628,媢,ㄇㄠˋ,mào,
062700001,帽子,ㄇㄠˋ　˙ㄗ,mào zi,
062600021,冒用,ㄇㄠˋ　ㄩㄥˋ,mào yòng,
0627,帽,ㄇㄠˋ,mào,
062600020,冒雨,ㄇㄠˋ　ㄩˇ,mào yǔ,
062600019,冒煙,ㄇㄠˋ　ㄧㄢ,mào yān,
062600018,冒死,ㄇㄠˋ　ㄙˇ,mào sǐ,
062600017,冒然,ㄇㄠˋ　ㄖㄢˊ,mào rán,
062600016,冒失鬼,ㄇㄠˋ　ㄕ　ㄍㄨㄟˇ,mào shī guǐ,
062600015,冒失,ㄇㄠˋ　ㄕ,mào shī,
062600014,冒充,ㄇㄠˋ　ㄔㄨㄥ,mào chōng,
062600012,冒稱,ㄇㄠˋ　ㄔㄥ,mào chēng,
062600011,冒險犯難,ㄇㄠˋ　ㄒㄧㄢˇ　ㄈㄢˋ　ㄋㄢˋ,mào xiǎn fàn nàn,
062600010,冒險,ㄇㄠˋ　ㄒㄧㄢˇ,mào xiǎn,
062600009,冒火,ㄇㄠˋ　ㄏㄨㄛˇ,mào huǒ,
062600008,冒汗,ㄇㄠˋ　ㄏㄢˋ,mào hàn,
062600007,冒號,ㄇㄠˋ　ㄏㄠˋ,mào hào,
062600006,冒領,ㄇㄠˋ　ㄌㄧㄥˇ,mào lǐng,
062600005,冒犯,ㄇㄠˋ　ㄈㄢˋ,mào fàn,
062600004,冒名,ㄇㄠˋ　ㄇㄧㄥˊ,mào míng,
062600003,冒昧,ㄇㄠˋ　ㄇㄟˋ,mào mèi,
062600002,冒泡,ㄇㄠˋ　ㄆㄠˋ,mào pào,
062600001,冒牌,ㄇㄠˋ　ㄆㄞˊ,mào pái,
0624,眊,ㄇㄠˋ,mào,
0625,耄,ㄇㄠˋ,mào,
0626,冒,(一)ㄇㄠˋ,(一)mào,(二)ㄇㄛˋ　　mò（0566）<br>
062300003,茂盛,ㄇㄠˋ　ㄕㄥˋ,mào shèng,
062300002,茂林,ㄇㄠˋ　ㄌㄧㄣˊ,mào lín,
062300001,茂密,ㄇㄠˋ　ㄇㄧˋ,mào mì,
0623,茂,ㄇㄠˋ,mào,
0622,鉚,ㄇㄠˇ,mǎo,
062200001,鉚釘,ㄇㄠˇ　ㄉㄧㄥ,mǎo dīng,
0620,茆,ㄇㄠˇ,mǎo,
0621,昴,ㄇㄠˇ,mǎo,
061900001,卯上,ㄇㄠˇ　ㄕㄤˋ,mǎo shàng,
061900002,卯足全力,ㄇㄠˇ　ㄗㄨˊ　ㄑㄩㄢˊ　ㄌㄧˋ,mǎo zú quán lì,
0618,錨,ㄇㄠˊ,máo,
0619,卯,ㄇㄠˇ,mǎo,
0617,蟊,ㄇㄠˊ,máo,
