㓦劃	bohua
了賬	liaozhang
了身達命	liaoshendaming
了願	liaoyuan
了鳥	liaodiao
事不三思，終有後悔	shibusansi,zhongyouhouhui
事不關己，高高掛起	shibuguanji,gaogaoguaqi
事不關心，關心者亂	shibuguanxin,guanxinzheluan
事修而謗興，德高而毀來	shixiuerbangxing,degaoerhuilai
事有鬥巧，物有故然	shiyoudouqiao,wuyouguran
事由兒	shiyour
事畜	shixu
二乘	ersheng
二人同心，其利斷金	errentongxin,qiliduanjin
二伯	erba
二傳	erzhuan
二十八宿	ershibaxiu
二千石	erqiandan
二和藥	erhuoyao
二地主	erdizhu
二朝王醮	erzhaowangjiao
二碴兒	erchar
二虎相鬥，必有一傷	erhuxiangdou,biyouyishang
二路兒	erlur
二路腳兒	erlujiaor
二重分類表	erchongfenleibiao
二重唱	erchongchang
二重國籍	erchongguoji
二重奏	erchongzou
二重性	erchongxing
于嗟	xujie
于思	yusai
五不五，六不六	wubuwu,liubuliu
五伯	wuba
五分明兒	wufenmingr
五方佛	wufangfo
五會念佛	wuhuinianfo
五熟行	wushouhang
五百	wubo
五經掃地	wujingsaodi
五花三層兒	wuhuasancengr
五行並下	wuhangbingxia
五行俱下	wuhangjuxia
五行八作	wuhangbazuo
五角六張	wujueluzhang
五角大廈	wujiaodaxia
五言長城	wuyanchangcheng
五車	wuju
五辟	wubi
五體投地	wutitoudi
井地	jingdi
井宿	jingxiu
井幹	jinghan
井底蝦蟆	jingdihama
井榦	jinghan
些兒	xier
亞佛加厥定律	yafojiajuedinglu
亞塞拜然	yasebairan
亞塞拜然共和國	yasebairangongheguo
亞太地區	yataidiqu
亞洲開發銀行	yazhoukaifayinhang
亡是公	wushigong
亡血家	wangxiejia
交差	jiaochai
交惡	jiaowu
交通壅塞	jiaotongyongse
交還	jiaohuan
交響樂	jiaoxiangyue
交響樂團	jiaoxiangyuetuan
京都	jingdu
亮兒	liangr
亮底兒	liangdir
亮陰	liangan
亹亹	weiwei
亹亹不倦	weiweibujuan
亹亹不卷	weiweibujuan
人不像人，鬼不像鬼	renbuxiangren,guibuxianggui
人不可貌相，海水不可斗量	renbukemaoxiang,haishuibukedouliang
人不可貌相，海水不可斗量	renbukemaoxianghaishuibukedouliang
人不知，鬼不覺	renbuzhi,guibujue
人不知，鬼不覺	renbuzhiguibujue
人之將死，其言也善	renzhijiangsi,qiyanyeshan
人事不省	renshibuxing
人來投主，鳥來投林	renlaitouzhu,niaolaitoulin
人傑地靈	renjiediling
人兒	renr
人兒	rer
人力銀行	renliyinhang
人勤地不懶	renqindibulan
人參	renshen
人參果	renshenguo
人受一口氣，佛受一爐香	renshouyikouqi,foshouyiluxiang
人同此心，心同此理	rentongcixin,xintongcili
人味兒	renweir
人味兒	renwer
人善得人欺，馬善得人騎	renshanderenqi,mashanderenqi
人在江湖，身不由己	renzaijianghu,shenbuyouji
人地	rendi
人地兩疏	rendiliangshu
人地生疏	rendishengshu
人地相宜	rendixiangyi
人外有人，天外有天	renwaiyouren,tianwaiyoutian
人工蝸牛	rengongguaniu
人工血液	rengongxieye
人影兒	renyingr
人往高處去，水往低處流	renwanggaochuqu,shuiwangdichuliu
人心不同，各如其面	renxinbutong,geruqimian
人心似鐵，官法如爐	renxinsitie,guanfarulu
人心齊，泰山移	renxinqi,taishanyi
人急懸梁，狗急跳牆	renjixuanliang,goujitiaoqiang
人情薄似紙	renqingbosizhi
人文地理學	renwendilixue
人是地行仙	renshidixingxian
人是苦蟲，不打不招	renshikuchong,budabuzhao
人是衣妝，佛是金妝	renshiyizhuang,foshijinzhuang
人是衣裳，馬是鞍	renshiyishang,mashian
人是鐵，飯是鋼	renshitie,fanshigang
人有千算，天有一算	renyouqiansuan,tianyouyisuan
人有失手，馬有亂蹄	renyoushishou,mayouluanti
人樣兒	renyangr
人比人，氣死人	renbiren,qisiren
人為刀俎，我為魚肉	renweidaozu,woweiyurou
人為財死，鳥為食亡	renweicaisi,niaoweishiwang
人無剛骨，安身不牢	renwuganggu,anshenbulao
人無千日好，花無百日紅	renwuqianrihao,huawubairihong
人無害虎心，虎有傷人意	renwuhaihuxin,huyoushangrenyi
人無遠慮，必有近憂	renwuyuanlu,biyoujinyou
人無遠慮，必有近憂	renwuyuanlubiyoujinyou
人爭一口氣，佛受一爐香	renzhengyikouqi,foshouyiluxiang
人牙兒	renyar
人物闐咽	renwutianye
人生一世，草生一秋	renshengyishi,caoshengyiqiu
人生不滿百，常懷千歲憂	renshengbumanbai,changhuaiqiansuiyou
人生如朝露	renshengruzhaolu
人生朝露	renshengzhaolu
人生自古誰無死	renshengzigusheiwusi
人百其身	renboqishen
人的名兒，樹的影兒	rendemingr,shudeyingr
人給家足	renjijiazu
人老精，薑老辣	renlaojing,jianglaola
人而無信，不知其可	renerwuxin,buzhiqike
人言鑿鑿	renyanzuozuo
人過留名，雁過留聲	renguoliuming,yanguoliusheng
人間地獄	renjiandiyu
人非聖賢，誰能無過	renfeishengxian,sheinengwuguo
人非草木，誰能無情	renfeicaomu,sheinengwuqing
人頭兒	rentour
人頭落地	rentouluodi
什一	shiyi
